Year,Week_Reported,County,id,Positive_Cases
2006,35,Alameda,6001,1
2006,33,Butte,6007,4
2006,34,Butte,6007,1
2006,35,Butte,6007,10
2006,36,Butte,6007,2
2006,37,Butte,6007,8
2006,38,Butte,6007,3
2006,39,Butte,6007,2
2006,43,Butte,6007,1
2006,31,Colusa,6011,1
2006,35,Colusa,6011,1
2006,41,Colusa,6011,1
2006,34,Contra Costa,6013,3
2006,35,Contra Costa,6013,1
2006,36,Contra Costa,6013,1
2006,37,Contra Costa,6013,1
2006,38,Contra Costa,6013,1
2006,39,Contra Costa,6013,1
2006,34,El Dorado,6017,1
2006,48,El Dorado,6017,1
2006,30,Fresno,6019,1
2006,33,Fresno,6019,3
2006,34,Fresno,6019,1
2006,35,Fresno,6019,2
2006,36,Fresno,6019,1
2006,41,Fresno,6019,1
2006,45,Fresno,6019,1
2006,46,Fresno,6019,1
2006,32,Glenn,6021,2
2006,34,Glenn,6021,1
2006,35,Glenn,6021,3
2006,36,Glenn,6021,2
2006,37,Glenn,6021,1
2006,39,Glenn,6021,3
2006,39,Imperial,6025,1
2006,25,Kern,6029,1
2006,29,Kern,6029,1
2006,30,Kern,6029,8
2006,31,Kern,6029,1
2006,32,Kern,6029,6
2006,33,Kern,6029,3
2006,34,Kern,6029,5
2006,35,Kern,6029,5
2006,36,Kern,6029,2
2006,37,Kern,6029,6
2006,38,Kern,6029,3
2006,39,Kern,6029,4
2006,40,Kern,6029,2
2006,42,Kern,6029,1
2006,46,Kern,6029,1
2006,33,Kings,6031,1
2006,36,Lake,6033,1
2006,40,Lake,6033,1
2006,32,Los Angeles,6037,1
2006,34,Los Angeles,6037,1
2006,35,Los Angeles,6037,1
2006,37,Los Angeles,6037,2
2006,38,Los Angeles,6037,3
2006,39,Los Angeles,6037,1
2006,41,Los Angeles,6037,2
2006,45,Los Angeles,6037,1
2006,37,Marin,6041,1
2006,33,Merced,6047,1
2006,38,Merced,6047,1
2006,41,Merced,6047,1
2006,42,Merced,6047,1
2006,32,Modoc,6049,1
2006,37,Modoc,6049,1
2006,34,Mono,6051,1
2006,39,Napa,6055,1
2006,35,Nevada,6057,1
2006,34,Orange,6059,2
2006,35,Orange,6059,1
2006,38,Orange,6059,2
2006,44,Orange,6059,1
2006,33,Placer,6061,1
2006,34,Placer,6061,1
2006,35,Placer,6061,2
2006,37,Placer,6061,2
2006,38,Placer,6061,1
2006,41,Placer,6061,1
2006,33,Riverside,6065,1
2006,37,Riverside,6065,2
2006,43,Riverside,6065,1
2006,31,Sacramento,6067,1
2006,32,Sacramento,6067,1
2006,33,Sacramento,6067,2
2006,34,Sacramento,6067,1
2006,35,Sacramento,6067,2
2006,37,Sacramento,6067,3
2006,38,Sacramento,6067,1
2006,43,Sacramento,6067,2
2006,45,Sacramento,6067,1
2006,46,Sacramento,6067,1
2006,39,San Bernardino,6071,1
2006,43,San Bernardino,6071,2
2006,39,San Diego,6073,1
2006,29,San Joaquin,6077,1
2006,33,San Joaquin,6077,2
2006,34,San Joaquin,6077,2
2006,38,San Joaquin,6077,2
2006,39,San Joaquin,6077,1
2006,35,San Luis Obispo,6079,1
2006,33,Santa Clara,6085,1
2006,35,Santa Clara,6085,2
2006,36,Santa Clara,6085,1
2006,39,Santa Clara,6085,1
2006,35,Shasta,6089,1
2006,36,Shasta,6089,1
2006,41,Shasta,6089,1
2006,42,Shasta,6089,1
2006,33,Solano,6095,2
2006,39,Solano,6095,4
2006,29,Stanislaus,6099,1
2006,33,Stanislaus,6099,2
2006,34,Stanislaus,6099,1
2006,35,Stanislaus,6099,2
2006,36,Stanislaus,6099,1
2006,37,Stanislaus,6099,2
2006,39,Stanislaus,6099,1
2006,41,Stanislaus,6099,1
2006,29,Sutter,6101,1
2006,32,Sutter,6101,2
2006,34,Sutter,6101,3
2006,35,Sutter,6101,3
2006,37,Sutter,6101,2
2006,40,Sutter,6101,1
2006,36,Tehama,6103,2
2006,38,Tehama,6103,1
2006,36,Tulare,6107,3
2006,37,Tulare,6107,1
2006,40,Tulare,6107,1
2006,41,Tulare,6107,2
2006,42,Tulare,6107,1
2006,35,Ventura,6111,1
2006,36,Ventura,6111,2
2006,30,Yolo,6113,2
2006,31,Yolo,6113,1
2006,32,Yolo,6113,5
2006,33,Yolo,6113,7
2006,34,Yolo,6113,4
2006,35,Yolo,6113,2
2006,36,Yolo,6113,1
2006,37,Yolo,6113,3
2006,41,Yolo,6113,1
2006,37,Yuba,6115,3
2006,44,Yuba,6115,2
2007,30,Butte,6007,2
2007,32,Butte,6007,4
2007,33,Butte,6007,1
2007,34,Butte,6007,1
2007,35,Butte,6007,2
2007,36,Butte,6007,1
2007,37,Butte,6007,5
2007,30,Colusa,6011,1
2007,39,Colusa,6011,1
2007,38,Contra Costa,6013,1
2007,39,Contra Costa,6013,1
2007,50,Contra Costa,6013,1
2007,30,Fresno,6019,2
2007,31,Fresno,6019,3
2007,32,Fresno,6019,2
2007,33,Fresno,6019,1
2007,34,Fresno,6019,1
2007,35,Fresno,6019,1
2007,37,Fresno,6019,1
2007,38,Fresno,6019,1
2007,39,Fresno,6019,2
2007,43,Fresno,6019,2
2007,45,Fresno,6019,1
2007,29,Glenn,6021,1
2007,31,Glenn,6021,1
2007,32,Glenn,6021,2
2007,34,Glenn,6021,1
2007,35,Glenn,6021,2
2007,30,Imperial,6025,1
2007,34,Imperial,6025,1
2007,36,Imperial,6025,1
2007,16,Kern,6029,1
2007,25,Kern,6029,1
2007,27,Kern,6029,2
2007,28,Kern,6029,5
2007,29,Kern,6029,14
2007,30,Kern,6029,6
2007,31,Kern,6029,10
2007,32,Kern,6029,10
2007,33,Kern,6029,16
2007,34,Kern,6029,14
2007,35,Kern,6029,13
2007,36,Kern,6029,9
2007,37,Kern,6029,7
2007,38,Kern,6029,8
2007,39,Kern,6029,2
2007,40,Kern,6029,8
2007,41,Kern,6029,6
2007,42,Kern,6029,2
2007,44,Kern,6029,2
2007,45,Kern,6029,2
2007,46,Kern,6029,1
2007,49,Kern,6029,1
2007,31,Kings,6031,1
2007,33,Kings,6031,1
2007,36,Kings,6031,1
2007,37,Kings,6031,2
2007,40,Kings,6031,2
2007,32,Los Angeles,6037,1
2007,33,Los Angeles,6037,3
2007,35,Los Angeles,6037,2
2007,36,Los Angeles,6037,2
2007,37,Los Angeles,6037,5
2007,39,Los Angeles,6037,11
2007,40,Los Angeles,6037,6
2007,41,Los Angeles,6037,5
2007,43,Los Angeles,6037,1
2007,39,Madera,6039,1
2007,41,Madera,6039,1
2007,29,Mendocino,6045,1
2007,38,Mendocino,6045,1
2007,29,Merced,6047,1
2007,31,Merced,6047,2
2007,37,Merced,6047,1
2007,40,Napa,6055,1
2007,33,Orange,6059,2
2007,36,Orange,6059,1
2007,39,Orange,6059,4
2007,40,Orange,6059,1
2007,44,Orange,6059,1
2007,37,Placer,6061,2
2007,42,Placer,6061,1
2007,46,Placer,6061,1
2007,35,Riverside,6065,1
2007,37,Riverside,6065,6
2007,38,Riverside,6065,2
2007,39,Riverside,6065,1
2007,41,Riverside,6065,4
2007,42,Riverside,6065,1
2007,45,Riverside,6065,1
2007,46,Riverside,6065,1
2007,31,Sacramento,6067,1
2007,33,Sacramento,6067,2
2007,34,Sacramento,6067,4
2007,35,Sacramento,6067,3
2007,36,Sacramento,6067,3
2007,38,Sacramento,6067,1
2007,40,Sacramento,6067,2
2007,41,Sacramento,6067,3
2007,43,Sacramento,6067,3
2007,44,Sacramento,6067,2
2007,48,Sacramento,6067,1
2007,33,San Bernardino,6071,1
2007,36,San Bernardino,6071,1
2007,39,San Bernardino,6071,1
2007,44,San Bernardino,6071,1
2007,36,San Diego,6073,2
2007,38,San Diego,6073,2
2007,39,San Diego,6073,4
2007,40,San Diego,6073,6
2007,42,San Diego,6073,1
2007,28,San Joaquin,6077,1
2007,31,San Joaquin,6077,1
2007,33,San Joaquin,6077,1
2007,36,San Joaquin,6077,1
2007,39,San Joaquin,6077,2
2007,42,San Joaquin,6077,4
2007,31,Santa Clara,6085,1
2007,32,Santa Clara,6085,1
2007,40,Santa Clara,6085,2
2007,30,Shasta,6089,1
2007,35,Shasta,6089,1
2007,36,Shasta,6089,2
2007,37,Shasta,6089,2
2007,38,Shasta,6089,1
2007,39,Shasta,6089,1
2007,41,Shasta,6089,1
2007,34,Solano,6095,1
2007,30,Sonoma,6097,1
2007,29,Stanislaus,6099,1
2007,30,Stanislaus,6099,1
2007,31,Stanislaus,6099,2
2007,33,Stanislaus,6099,2
2007,34,Stanislaus,6099,4
2007,36,Stanislaus,6099,1
2007,37,Stanislaus,6099,1
2007,38,Stanislaus,6099,1
2007,39,Stanislaus,6099,3
2007,40,Stanislaus,6099,1
2007,41,Stanislaus,6099,1
2007,42,Stanislaus,6099,1
2007,43,Stanislaus,6099,1
2007,44,Stanislaus,6099,1
2007,32,Sutter,6101,1
2007,33,Sutter,6101,1
2007,48,Sutter,6101,1
2007,33,Tehama,6103,3
2007,36,Tehama,6103,1
2007,38,Tulare,6107,7
2007,40,Tulare,6107,3
2007,37,Ventura,6111,1
2007,32,Yolo,6113,1
2007,49,Yolo,6113,1
2008,32,Alameda,6001,1
2008,32,Butte,6007,1
2008,34,Butte,6007,1
2008,37,Butte,6007,2
2008,40,Butte,6007,1
2008,50,Butte,6007,1
2008,39,Calaveras,6009,1
2008,36,Colusa,6011,1
2008,36,Contra Costa,6013,1
2008,38,Contra Costa,6013,1
2008,40,Contra Costa,6013,2
2008,40,El Dorado,6017,1
2008,30,Fresno,6019,1
2008,44,Fresno,6019,1
2008,45,Fresno,6019,1
2008,53,Glenn,6021,1
2008,45,Kern,6029,1
2008,50,Kern,6029,1
2008,39,Kings,6031,1
2008,51,Kings,6031,1
2008,30,Los Angeles,6037,3
2008,31,Los Angeles,6037,8
2008,32,Los Angeles,6037,5
2008,33,Los Angeles,6037,9
2008,35,Los Angeles,6037,8
2008,36,Los Angeles,6037,6
2008,37,Los Angeles,6037,14
