,latitude,longitude,diameter_mm,length_cm_drilled,length_cm_concrete,date
0,-32.07305,-52.10223,300,1008,1016,2017-11-16
1,-32.07296,-52.10224,300,1008,1024,2017-11-17
2,-32.07292,-52.10221,300,1008,976,2017-11-23
3,-32.07291,-52.10243,300,1008,1016,2017-11-17
4,-32.0729,-52.10204,300,1008,816,2017-11-16
5,-32.07287,-52.10235,300,1008,1000,2017-11-17
6,-32.07286,-52.10227,300,1008,1016,2017-11-22
7,-32.07285,-52.10235,300,1008,1032,2017-11-17
8,-32.07284,-52.10236,300,1008,1024,2017-11-20
9,-32.07283,-52.10231,300,1008,848,2017-11-20
10,-32.07283,-52.10234,300,1024,1008,2017-11-20
11,-32.07283,-52.10232,300,1008,1016,2017-11-17
12,-32.07282,-52.10224,300,1008,1000,2017-11-17
13,-32.07281,-52.10232,300,1008,1016,2017-11-17
14,-32.0728,-52.10224,300,1008,976,2017-11-20
15,-32.0728,-52.10237,300,1008,992,2017-11-16
16,-32.07279,-52.10228,300,1016,1008,2017-11-21
17,-32.07279,-52.10226,300,1008,1008,2017-11-21
18,-32.07279,-52.10233,300,1016,1016,2017-11-23
19,-32.07279,-52.10226,300,904,920,2017-11-16
20,-32.07279,-52.10242,300,1008,1008,2017-11-16
21,-32.07279,-52.10226,300,1008,1008,2017-11-16
22,-32.07279,-52.10216,300,1008,976,2017-11-16
23,-32.07279,-52.10234,300,1008,816,2017-11-17
24,-32.07278,-52.10226,300,1008,1024,2017-11-22
25,-32.07278,-52.10225,300,1008,1008,2017-11-17
26,-32.07277,-52.10202,300,808,784,2017-11-20
27,-32.07277,-52.10221,300,1008,1000,2017-11-20
28,-32.07277,-52.10234,300,1008,1024,2017-11-22
29,-32.07277,-52.10229,300,1008,816,2017-11-17
30,-32.07276,-52.10237,300,792,552,2017-11-21
31,-32.07276,-52.10228,300,1008,984,2017-11-23
32,-32.07275,-52.10228,300,1008,1016,2017-11-16
33,-32.07274,-52.1023,300,1024,1048,2017-11-23
34,-32.07274,-52.10233,300,1016,1040,2017-11-22
35,-32.07274,-52.10235,300,1008,968,2017-11-17
36,-32.07272,-52.10231,300,992,1000,2017-11-23
37,-32.07272,-52.1022,300,1008,848,2017-11-22
38,-32.07271,-52.10243,300,1016,1032,2017-11-21
39,-32.07271,-52.10243,300,48,272,2017-11-21
40,-32.07271,-52.10225,300,1008,848,2017-11-22
41,-32.07271,-52.10225,300,1000,1000,2017-11-17
42,-32.07269,-52.10236,300,1008,1016,2017-11-16
43,-32.07268,-52.10221,300,1008,1008,2017-11-22
44,-32.07268,-52.10222,300,1000,944,2017-11-16
45,-32.07266,-52.10213,300,776,568,2017-11-20
46,-32.07266,-52.10213,300,792,552,2017-11-20
47,-32.07266,-52.10226,300,1008,1032,2017-11-17
